                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 1.6197,                 2.0581,                 1.5961,                0.57837,                0.53285,                0.53504,                0.32246,                 1.5426,                 1.7486,                 1.6136,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.6117,                 2.0072,                 1.5826,                0.55663,                0.49706,                0.49941,                0.30764,                 1.5627,                 1.8897,                 1.6325,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.5672,                 2.0215,                 1.5633,                0.65245,                0.46221,                0.53183,                0.33702,                 1.4696,                 1.9647,                 1.5627,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.5681,                  1.966,                 1.5475,                0.55249,                0.55138,                0.54141,                0.34157,                 1.4906,                 1.7335,                 1.5825,               0.009307,               0.009307,               0.009307
                     72,                 1.5609,                  1.984,                  1.567,                0.60808,                0.52001,                0.56447,                0.36278,                 1.5137,                 1.7245,                  1.566,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.5814,                 1.9967,                 1.5653,                 0.5607,                0.57576,                0.56528,                 0.3581,                 1.5528,                 1.8169,                 1.6132,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.5757,                 1.9714,                 1.5574,                0.46149,                0.57539,                0.53415,                0.32983,                 1.5147,                 1.8899,                 1.5773,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.5329,                 1.9314,                 1.5481,                0.59789,                0.54652,                0.56699,                0.35789,                 1.4976,                 1.7367,                 1.5732,              0.0092674,              0.0092674,              0.0092674
                     76,                  1.507,                 1.8561,                 1.5082,                0.59871,                0.53901,                0.55093,                0.35055,                 1.4551,                 1.7147,                 1.5561,              0.0092575,              0.0092575,              0.0092575
                     77,                 1.5614,                 1.9401,                 1.5496,                0.61035,                0.52947,                0.57609,                0.37629,                 1.4874,                 1.7591,                 1.5446,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.5287,                 1.8503,                 1.5153,                0.63183,                0.59294,                0.59676,                0.38991,                 1.4854,                 1.6137,                 1.5209,              0.0092377,              0.0092377,              0.0092377
                     79,                 1.5223,                 1.8968,                 1.5096,                0.61166,                0.60513,                0.58322,                 0.3782,                 1.4222,                 1.6138,                  1.504,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.5332,                 1.8293,                 1.5324,                0.60683,                0.56493,                0.61386,                  0.388,                 1.4123,                 1.5847,                 1.4955,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.5284,                 1.8187,                 1.5033,                 0.6468,                0.52176,                0.60184,                0.39578,                 1.4281,                 1.7309,                 1.5039,               0.009208,               0.009208,               0.009208
                     82,                 1.4868,                 1.8054,                 1.4939,                 0.5905,                0.52101,                0.56384,                0.35914,                 1.4472,                 1.8038,                 1.5662,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.5046,                 1.7706,                 1.5232,                0.63349,                0.62659,                0.66307,                0.42574,                 1.3992,                 1.5098,                 1.5014,              0.0091882,              0.0091882,              0.0091882
                     84,                 1.5256,                 1.8347,                  1.525,                0.69779,                0.54646,                0.63977,                0.41735,                 1.4477,                 1.6155,                 1.5285,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.5077,                 1.7682,                 1.5065,                0.70905,                0.57833,                0.64928,                0.42949,                  1.393,                 1.5877,                 1.4911,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.4413,                 1.7779,                 1.4632,                0.67358,                0.56817,                0.62106,                0.39842,                 1.3987,                 1.7005,                 1.5071,              0.0091585,              0.0091585,              0.0091585
                     87,                 1.4731,                 1.7116,                 1.4779,                 0.7163,                0.60027,                0.65288,                  0.444,                 1.3166,                 1.5913,                  1.452,              0.0091486,              0.0091486,              0.0091486
